0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60
0, 0, 0, 0, 0, 1.08468, 3.79156, 7.14042, 11.5174, 15.0691, 18.83, 21.8996, 25.215, 27.7925, 29.4999, 30.9021, 32.4191, 33.0613, 33.7868, 34.7382, 35.7967, 35.346, 35.5887, 36.1043, 36.0664, 36.187, 35.8767, 36.0884, 36.2327, 35.1902, 36.3494, 35.9424, 35.3806, 35.194, 34.9407, 35.2837, 34.4841, 34.4472, 34.1603, 33.2798, 33.2938, 32.7059, 33.0071, 32.3638, 31.6025, 31.3957, 31.1114, 30.6269, 30.7386, 30.0315, 29.5822, 29.1385, 28.616, 28.4316, 28.2299, 27.2134, 26.9234, 26.7051, 26.3097, 26.3894, 25.213, 24.9032
1, 0, 0, 0, 0, 1.18173, 3.90119, 7.52549, 11.7925, 16.091, 19.642, 22.9857, 25.4575, 28.1801, 29.6002, 31.4565, 32.8924, 33.8913, 35.008, 35.2584, 35.7224, 36.2863, 36.1159, 36.3541, 36.4498, 36.5227, 36.9516, 36.548, 36.6898, 35.9593, 36.2061, 36.347, 36.1997, 36.1755, 35.7036, 35.4394, 34.5896, 34.2958, 34.5871, 34.425, 33.2175, 33.8046, 33.2423, 32.3149, 32.3048, 31.6758, 31.703, 31.4012, 30.7697, 30.4366, 30.2307, 29.7869, 28.8314, 28.9581, 27.9973, 27.9394, 27.5663, 27.0453, 26.6182, 26.4261, 25.6011, 25.2861
2, 0, 0, 0, 0, 1.08159, 3.70535, 7.29455, 11.8184, 15.7393, 19.7407, 23.2906, 25.9144, 28.5826, 30.4074, 31.6739, 33.0278, 34.2247, 34.3956, 35.3555, 35.995, 36.435, 36.6608, 37.003, 36.8277, 37.1124, 36.3933, 36.8458, 36.2314, 36.2764, 36.4427, 36.0203, 36.1953, 35.5216, 35.7463, 35.1018, 34.6711, 34.7414, 34.5544, 34.1292, 33.5693, 32.8649, 32.5018, 32.7071, 32.4061, 31.758, 31.1783, 31.1719, 31.0142, 30.0951, 29.5018, 29.4402, 28.5833, 28.2284, 28.1699, 27.4925, 27.1103, 27.0309, 26.7513, 25.9982, 25.5608, 25.1013
3, 0, 0, 0, 0, 1.19428, 3.75706, 7.35928, 11.4835, 15.3857, 19.7203, 22.9522, 25.7641, 28.2463, 29.7864, 31.2901, 32.645, 34.0419, 34.532, 35.2986, 35.6255, 35.7537, 35.9362, 36.2758, 36.2519, 36.1173, 36.3782, 36.1933, 35.8706, 36.4974, 36.0728, 35.3568, 35.8024, 35.3168, 34.9891, 34.5307, 34.9219, 34.4048, 34.2183, 33.6987, 33.4436, 33.4254, 32.8923, 31.8856, 32.0929, 31.3994, 30.9981, 30.708, 30.0736, 29.7176, 29.0986, 28.9257, 28.149, 28.1801, 27.6837, 27.5137, 27.047, 26.3742, 26.371, 26.2659, 25.2372, 24.9628
4, 0, 0, 0, 0, 1.11886, 3.6874, 7.51262, 11.0399, 15.3147, 19.1247, 22.6843, 25.6846, 27.5752, 29.8909, 31.0595, 32.3671, 33.2905, 34.3858, 34.5599, 35.3901, 35.4756, 35.4533, 35.8927, 35.3983, 35.9651, 35.7771, 35.927, 35.267, 35.5538, 35.4751, 35.0728, 34.9861, 34.829, 34.7933, 34.0376, 34.2725, 33.7911, 33.6656, 32.949, 32.807, 32.2742, 31.7164, 31.8456, 31.8524, 30.9148, 30.8625, 30.1794, 30.0728, 29.4339, 29.2001, 28.6913, 28.3189, 27.6803, 27.4269, 27.1524, 26.5114, 26.0457, 25.7018, 25.2254, 24.6561, 24.3527
5, 0, 0, 0, 0, 1.20904, 3.81992, 7.16686, 11.114, 15.1121, 18.7766, 22.259, 25.0251, 27.406, 29.2323, 30.8802, 32.0116, 32.7747, 33.6264, 33.864, 34.3573, 34.5302, 34.7078, 34.8061, 35.5807, 35.399, 34.9823, 35.399, 34.7005, 34.33, 34.7767, 34.8197, 34.3334, 34.1418, 33.5607, 33.5891, 33.4021, 33.1371, 32.8336, 32.7245, 31.6222, 31.7449, 31.4419, 31.1149, 30.4126, 30.4389, 29.8176, 29.5593, 29.3531, 28.7886, 28.1631, 28.1702, 27.6986, 27.1705, 27.0459, 26.2853, 25.7502, 25.3525, 24.8735, 24.6863, 24.6039, 23.9382
6, 0, 0, 0, 0, 1.07105, 3.46348, 7.13038, 10.9653, 14.9207, 18.4683, 22.0474, 24.6168, 27.0581, 28.7213, 30.4704, 31.4522, 32.1343, 32.7676, 33.5186, 33.9358, 34.2573, 34.043, 34.1874, 34.4232, 34.5882, 34.1575, 34.1662, 34.048, 34.0962, 33.8461, 33.7454, 33.3172, 33.1223, 32.972, 33.285, 32.7975, 32.1938, 32.0888, 31.6252, 31.5357, 31.024, 30.4776, 30.5071, 29.8709, 29.8428, 29.4085, 28.7344, 28.5812, 28.5588, 27.7961, 27.3341, 26.8855, 26.5149, 26.1408, 25.9253, 25.5878, 24.9527, 24.4275, 23.9535, 23.594, 23.3586
7, 0, 0, 0, 0, 1.1149, 3.51663, 6.71878, 10.778, 14.7207, 18.1405, 21.2123, 24.3906, 26.1334, 27.99, 29.5563, 30.6109, 31.7872, 32.4995, 32.7466, 32.9354, 33.2877, 33.3623, 33.8859, 33.842, 33.8617, 33.7746, 33.5359, 33.708, 33.203, 33.4854, 33.3991, 33.0165, 32.8986, 32.6009, 32.3605, 31.746, 31.7829, 31.4898, 31.2739, 30.7904, 30.8066, 30.0112, 29.8644, 29.6905, 28.757, 28.7578, 28.3228, 27.4544, 27.4855, 27.1673, 26.9786, 26.2399, 25.8744, 25.4473, 25.454, 24.9734, 24.6507, 23.8998, 23.7038, 23.1962, 22.632
8, 0, 0, 0, 0, 1.0052, 3.48514, 6.81671, 10.8089, 14.5921, 17.9735, 21.2862, 23.8913, 26.218, 27.6312, 29.0032, 30.0962, 30.7503, 31.4254, 32.2602, 32.4525, 32.6214, 33.0017, 32.7496, 33.0322, 33.1984, 32.8588, 32.6656, 32.7443, 32.612, 32.5483, 32.1723, 32.3644, 31.6705, 31.7055, 31.6069, 30.9351, 30.8989, 30.8034, 30.2101, 29.8296, 29.598, 29.2296, 29.1748, 28.709, 28.5769, 28.0117, 27.5394, 27.3121, 27.0516, 26.4503, 26.0895, 25.8259, 25.5556, 25.5233, 24.5766, 24.5357, 23.6662, 23.5824, 23.2016, 22.7134, 22.5275
9, 0, 0, 0, 0, 1.0704, 3.27896, 6.45822, 10.4824, 14.1837, 17.7177, 20.4717, 23.352, 25.3571, 27.2755, 28.2834, 29.5479, 30.0929, 30.7733, 31.3869, 31.6773, 31.9073, 32.0176, 32.0556, 32.327, 32.1104, 32.5392, 32.3243, 32.0586, 31.9539, 31.937, 31.5975, 31.2919, 31.2087, 30.7553, 30.8426, 30.2795, 30.2675, 30.0813, 29.5751, 29.1585, 29.0815, 28.6461, 28.4474, 28.1448, 27.8631, 27.2802, 26.9305, 26.659, 26.3455, 25.8727, 25.363, 25.1174, 24.8808, 24.4907, 24.1294, 23.5773, 23.2176, 22.9309, 22.7176, 22.3895, 22.1844
10, 0, 0, 0, 0, 1.05097, 3.23996, 6.35979, 10.1546, 13.5155, 17.0966, 20.5571, 22.9316, 24.7737, 26.3388, 27.5917, 28.7774, 29.574, 30.1146, 30.7999, 30.7771, 31.3488, 31.4972, 31.4539, 31.4482, 31.6684, 31.3904, 31.5277, 31.2128, 31.3052, 31.3842, 30.6634, 30.2314, 30.5554, 30.0339, 30.1914, 29.8497, 29.3696, 29.3302, 28.8269, 28.5174, 28.283, 28.2584, 27.9538, 27.194, 27.1364, 26.8744, 26.4291, 25.8907, 25.5072, 25.2717, 24.9059, 24.2669, 23.7688, 23.6616, 23.4935, 23.0471, 22.7351, 22.2493, 21.8878, 21.526, 21.2286
11, 0, 0, 0, 0, 1.02449, 3.1742, 6.27689, 9.86941, 13.5426, 16.7594, 19.8294, 22.2339, 24.3106, 25.821, 27.1239, 28.1615, 28.9621, 29.7512, 29.9754, 30.4368, 30.4051, 30.6476, 30.6973, 31.0067, 30.9161, 30.8138, 30.8015, 30.8095, 30.6297, 30.2583, 30.3558, 30.105, 29.7303, 29.4791, 29.5306, 28.8461, 28.656, 28.5081, 28.3734, 27.8035, 27.5905, 27.529, 26.8084, 26.7218, 26.3814, 26.127, 25.666, 25.562, 25.3031, 24.8199, 24.4661, 23.9144, 23.413, 23.0924, 22.879, 22.8408, 22.1227, 21.8837, 21.3125, 20.937, 20.9341
12, 0, 0, 0, 0, 1.02864, 3.1193, 6.11634, 9.5301, 13.001, 16.2854, 19.2384, 21.723, 23.7521, 25.2612, 26.4141, 27.6037, 28.2079, 28.6389, 29.3354, 29.7125, 29.6722, 30.3356, 30.3466, 30.2223, 29.9762, 30.2343, 29.8343, 29.7147, 29.9589, 29.6601, 29.3962, 29.4191, 28.8915, 29.0428, 28.3652, 28.4757, 28.0237, 27.785, 27.5418, 27.3598, 26.9972, 27.0773, 26.6459, 26.2735, 25.7674, 25.1983, 25.002, 24.7351, 24.3507, 24.2754, 23.6863, 23.3239, 22.6778, 22.6731, 22.3532, 22.0699, 21.4158, 21.3922, 20.7906, 20.7417, 20.4459
13, 0, 0, 0, 0, 0.979758, 3.05756, 6.09874, 9.66237, 12.9212, 15.9362, 18.9397, 20.9856, 23.4881, 24.8349, 26.1059, 26.9958, 27.7051, 28.4459, 28.695, 28.9338, 29.0439, 29.4784, 29.6676, 29.4959, 29.6243, 29.6612, 29.47, 29.4365, 29.2649, 28.9846, 29.139, 28.6554, 28.3334, 28.2326, 27.9874, 27.4501, 27.2446, 27.1518, 27.1064, 26.627, 26.1684, 26.0794, 25.7634, 25.6782, 25.0819, 24.8294, 24.2801, 23.9956, 23.8111, 23.3759, 22.9872, 22.7825, 22.3723, 22.167, 21.8405, 21.4419, 20.9143, 20.8926, 20.4526, 19.9984, 19.7856
14, 0, 0, 0, 0, 0.950231, 3.08808, 5.95954, 9.45252, 12.6039, 15.8015, 18.5775, 20.833, 22.7359, 24.3187, 25.6101, 26.5541, 27.2552, 27.6164, 28.1295, 28.5079, 28.6143, 28.5701, 28.8028, 29.0017, 28.9567, 28.8636, 28.5662, 28.5783, 28.4479, 28.3961, 28.1408, 27.9252, 27.8502, 27.6485, 27.3418, 27.0329, 26.8218, 26.4777, 26.2469, 26.3312, 25.6794, 25.7357, 25.177, 24.8818, 24.5833, 24.1361, 23.7624, 23.6215, 23.5225, 22.8806, 22.5599, 22.2858, 21.9238, 21.3333, 21.1107, 20.851, 20.5969, 20.3066, 20.062, 19.4894, 19.1615
15, 0, 0, 0, 0, 0.901861, 2.99919, 5.71443, 9.22426, 12.4328, 15.334, 17.9892, 20.4111, 22.2732, 23.7565, 25.0467, 25.8455, 26.2475, 27.1671, 27.57, 27.7974, 28.0473, 28.3625, 28.0657, 28.2015, 28.2367, 27.9542, 28.0523, 27.9692, 27.9989, 27.6475, 27.5995, 27.2313, 27.1087, 26.8661, 26.8478, 26.6336, 26.3252, 26.0592, 25.7354, 25.5134, 25.1056, 24.8775, 24.4403, 24.2407, 24.0685, 23.7941, 23.2943, 23.0358, 22.8043, 22.3366, 22.1086, 21.6876, 21.4145, 21.2035, 20.7639, 20.5174, 20.1994, 19.7613, 19.5688, 19.1345, 18.7372
